Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Leandro,Alameda,"37.71543, -122.16628"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc Oklahoma City,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oklahoma City,Oklahoma,"35.47528, -97.50387"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.99937, -117.07178"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Chapel Hill,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Personal Genome Diagnostics Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Baltimore,Baltimore,"39.28184, -76.54131"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Tustin,Orange,"33.73402, -117.81916"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Englewood,Arapahoe,"39.57258, -104.8574"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Coast,Orange,"33.59561, -117.83209"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monrovia,Los Angeles,"34.15209, -118.0007"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Litholink Corporation,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,San Mateo,"37.65554, -122.42212"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hills,Los Angeles,"34.20164, -118.66216"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Spokane,Spokane,"47.64564, -117.42712"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Brentwood,Williamson,"35.99939, -86.78396"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Shelton,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.97099, -117.32489"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Westborough,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Westborough,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Accupath Diagnostic Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Phoenix,Maricopa,"33.40613, -112.02657"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Spokane,Spokane,"47.6291, -117.40327"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Saint Paul,Ramsey,"45.07658, -93.18893"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Monogram Biosciences Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,San Mateo,"37.65554, -122.42212"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Calabasas Hills,Los Angeles,"34.12274, -118.7572"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Phoenix,Maricopa,"33.40613, -112.02657"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,ViroMed Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Sequenom Ctr for Molecular Medicine,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.89918, -117.20233"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cary,Wake,"35.80708, -78.88695"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.99937, -117.07178"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratory,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,New york,New York,"40.7657, -73.98706"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Center for Disease Detection LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Antonio,Bexar,"29.55554, -98.36173"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Aurora,Arapahoe,"39.59971, -104.70728"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Saint Paul,Ramsey,"45.07658, -93.18893"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Vallejo,Solano,"38.12332, -122.19528"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Labcorp of America Holdings,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cary,Wake,"35.80708, -78.88695"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03939, -118.26645"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Shelton,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medical Neurogenetic LLC,Ancillary Care,Clinical laboratory,DXF004104,NONE SELECTED,NONE SELECTED,NONE SELECTED,Atlanta,Fulton,"33.88204, -84.37464"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Antonio,Bexar,"29.55554, -98.36173"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Leandro,Alameda,"37.71543, -122.16628"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Seattle,King,"47.61151, -122.29184"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Walnut Creek,Contra Costa,"37.9011, -122.00047"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Mount Vernon,Skagit,"48.35934, -122.14555"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Litholink Corporation,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Itasca,DuPage,"41.97306, -88.02155"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Medtox Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Saint Paul,Ramsey,"45.07658, -93.18893"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,ViroMed Laboratories Inc,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burlington,Alamance,"36.03178, -79.48892"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Shelton,,
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Dianon Systems Inc Oklahoma City,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oklahoma City,Oklahoma,"35.47528, -97.50387"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,National Genetics Institute,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Aurora,Arapahoe,"39.59971, -104.70728"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Inc,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Calabasas Hills,Los Angeles,"34.12274, -118.7572"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratory,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,New york,New York,"40.7657, -73.98706"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,RTP,Durham,"35.92576, -78.83553"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Esoterix Genetic Laboratories LLC Santa Fe,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Fe,Santa Fe,"35.62193, -105.86873"
Laboratory Corporation of America Holdings,Laboratory Corporation of America Holdings,Laboratory Corporation of America LLC,Ancillary Care,Clinical laboratory,DXF004105,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monrovia,Los Angeles,"34.15209, -118.0007"
