Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Latara Enterprise Inc. dba Foundation Laboratory,none identified,Ancillary Care,Clinical laboratory,Pomona,#N/A,91768
Laura N. Petrovich,none identified,Ambulatory Care Settings,Physician practice,Coronado,#N/A,92118
LAUREL HEIGHTS COMMUNITY CARE,none identified,Subacute Care Facility,Skilled nursing facility,San Francisco,#N/A,94115
Laurel Schramm MD,none identified,Ambulatory Care Settings,not selected,Los Angeles,#N/A,90048
"Lavinia Chong, M.D., Inc.",none identified,not selected,not selected,Newport Beach,#N/A,92660
Lawrence L Lin MD,Georgeanna J Huang MD,Ambulatory Care Settings,Physician practice,Thousand Oaks,#N/A,91320
"Le Meilleur Health Care Services, Inc",none identified,Community-Based Organizations,Other community-based service provider,Ontario,#N/A,91762
LEGACY POST-ACUTE REHABILITATION CENTER,none identified,Subacute Care Facility,Skilled nursing facility,San Bernardino,#N/A,92404-5385
Legal Aid of Sonoma County,none identified,Community-Based Organizations,Other community-based service provider,Santa Rosa,#N/A,95404
Leisure Court Nursing Center,none identified,Subacute Care Facility,Skilled nursing facility,Anaheim,#N/A,92801
"Leomar Health Group, Inc.",none identified,Community-Based Organizations,Continuum of Care organization (CoC),Carlsbad,#N/A,92010
Leslie Kaplan MD,none identified,Ambulatory Care Settings,Physician practice,Calabasas,#N/A,91302
Lestonnac Free Clinic,none identified,Community-Based Organizations,Other community-based service provider,Orange,#N/A,92866
"Level Home Health, Inc",none identified,Ancillary Care,Other ancillary care provider,Pasadena,#N/A,91101
Libertana,none identified,Community-Based Organizations,Other community-based service provider,Sherman Oaks,#N/A,91411
Life Connect Medical,none identified,Ambulatory Care Settings,Physician practice,Rancho Mirage,#N/A,92270
LifeLine Ambulance Service,none identified,Emergency Medical Service Providers,not selected,Commerce,#N/A,90040
LifeLong Medical Care,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Berkely,#N/A,94710
LifeStart Fertility Center,none identified,Ambulatory Care Settings,Physician practice,Agoura Hills,#N/A,91301
"Lifestyle Works, LLC",none identified,Ancillary Care,Other ancillary care provider,Cool,#N/A,95614
LightHouse for the Blind and Visually Impaired,none identified,Community-Based Organizations,Other community-based service provider,San Francisco,#N/A,94103
LILY ENAYATI MD INC,none identified,Ambulatory Care Settings,Physician practice,San Mateo,#N/A,94402
LINA C SHAMMAS DO INC,none identified,Ambulatory Care Settings,Physician practice,Burbank,#N/A,91506
Lincoln Glen Skilled Nursing,none identified,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95125
"Lisa Considine, D.O, Inc",none identified,Ambulatory Care Settings,Physician practice,Coronado,#N/A,92118
Little Manila Foundation,none identified,Community-Based Organizations,Other community-based service provider,Stockton,#N/A,95206
Livingstone Community Health Clinic,none identified,Ambulatory Care Settings,not selected,Stanton,#N/A,90680
"Livingwater's Medical Clinic, Inc.",none identified,Ambulatory Care Settings,Physician practice,Murrieta,#N/A,92562
"Liza Presser Belkin, MD Inc.",none identified,Ambulatory Care Settings,Physician practice,Santa Barbara,#N/A,93111
"LJMP, LP Capri in the Desert",none identified,Subacute Care Facility,Skilled nursing facility,Studio City,#N/A,91604
LMDPR,none identified,Ambulatory Care Settings,Physician practice,marina del rey,#N/A,90292
LMS Physicians Care PC,none identified,Ambulatory Care Settings,Physician practice,Riverside,#N/A,92506
"Loan Truong, M.D., INC.",none identified,Ambulatory Care Settings,Physician practice,Long Beach,#N/A,90806
Logan M Haak MD Inc,none identified,Ambulatory Care Settings,not selected,San Diego,#N/A,92101
Loida V Guevarra MD Inc,none identified,Ambulatory Care Settings,Physician practice,victorville,#N/A,92395-8305
"Loma Vista Endocrinology, Inc.",none identified,Ambulatory Care Settings,Independent practice associations,ventura,#N/A,93003
Lomita Family Medical Group,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92114
Lompoc Valley Medical Center,none identified,Acute Care Settings,not selected,Lompoc,#N/A,93436
Long Beach Post Acute,none identified,not selected,not selected,Long Beach,#N/A,90813
Long Beach Women's & Children,none identified,Ambulatory Care Settings,Physician practice,Long Beach,#N/A,90813
Long Health Inc,Long Health Inc,Intermediaries,Other intermediary,San Jose,#N/A,95148
Long Valley Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Laytonville,#N/A,95454
Longwood Management Corp.,Alameda Care Center,Subacute Care Facility,Skilled nursing facility,Burbank,#N/A,91506
Longwood Management Corp.,Alden Terrace Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90006
Longwood Management Corp.,Broadway Manor Care Center,Subacute Care Facility,Skilled nursing facility,Glendale,#N/A,91204
Longwood Management Corp.,Burbank Healthcare and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Burbank,#N/A,91506
Longwood Management Corp.,Burlington Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90057
Longwood Management Corp.,California Healthcare and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Van Nuys,#N/A,91411
Longwood Management Corp.,Casa Bonita Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,San Dimas,#N/A,91773
Longwood Management Corp.,Cerritos Vista Healthcare Center,Subacute Care Facility,Skilled nursing facility,Bellflower,#N/A,90706
Longwood Management Corp.,Chino Valley Healthcare Center,Subacute Care Facility,Skilled nursing facility,Pomona,#N/A,91766
Longwood Management Corp.,Colonial Care Center,Subacute Care Facility,Skilled nursing facility,Long Beach,#N/A,90802
Longwood Management Corp.,Covina Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Covina,#N/A,91723
Longwood Management Corp.,Crenshaw Nursing Home,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90016
Longwood Management Corp.,Eastland Subacute and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,El Monte,#N/A,91732
Longwood Management Corp.,Green Acres Healthcare Center,Subacute Care Facility,Skilled nursing facility,Rosemead,#N/A,91770
Longwood Management Corp.,Highland Springs Care Center,Subacute Care Facility,Skilled nursing facility,Beaumont,#N/A,92223
Longwood Management Corp.,Imperial Care Center,Subacute Care Facility,Skilled nursing facility,Studio City,#N/A,91604
Longwood Management Corp.,Imperial Crest Healthcare Center,Subacute Care Facility,Skilled nursing facility,HAWTHORNE,#N/A,90250
Longwood Management Corp.,Intercommunity Health and Rehab,Subacute Care Facility,Skilled nursing facility,Norwalk,#N/A,90650
Longwood Management Corp.,Laurel Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,FONTANA,#N/A,92336
Longwood Management Corp.,Live Oak Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,San Gabriel,#N/A,91776
Longwood Management Corp.,Longwood Manor Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90016
Longwood Management Corp.,Magnolia Gardens Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,Granada Hills,#N/A,91344
Longwood Management Corp.,Mayflower Care Center,Subacute Care Facility,Skilled nursing facility,El Monte,#N/A,91732
Longwood Management Corp.,Meadows Ridge Care Center,Subacute Care Facility,Skilled nursing facility,Colton,#N/A,92324
Longwood Management Corp.,Montrose Healthcare Center,Subacute Care Facility,Skilled nursing facility,Montrose,#N/A,91020
Longwood Management Corp.,Northridge Care Center,Subacute Care Facility,Skilled nursing facility,Northridge,#N/A,91335
Longwood Management Corp.,Park Anaheim Healthcare Center,Subacute Care Facility,Skilled nursing facility,Anaheim,#N/A,92804
Longwood Management Corp.,Pico Rivera Healthcare Center,Subacute Care Facility,Skilled nursing facility,Pico Rivera,#N/A,90660
Longwood Management Corp.,San Gabriel Convalescent,Subacute Care Facility,Skilled nursing facility,Rosemead,#N/A,91770
Longwood Management Corp.,Santa Fe Lodge,Subacute Care Facility,Skilled nursing facility,El Monte,#N/A,91732
Longwood Management Corp.,Whittier Pacific Care Center,Subacute Care Facility,Skilled nursing facility,Whittier,#N/A,90602
Longwood Management Corp.,Sherman Oaks Health and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91423
Longwood Management Corp.,Sherman Village Healthcare Center,Subacute Care Facility,Skilled nursing facility,N. Hollywood,#N/A,91607
Longwood Management Corp.,Studio City Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Studio City,#N/A,91604
Longwood Management Corp.,Sunnyview Care Center,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90018
Longwood Management Corp.,View Park Convalescent Center,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90008
Longwood Management Corp.,West Hills Health and Rehabilitation,Subacute Care Facility,Skilled nursing facility,Canoga Park,#N/A,91304
Longwood Management Corp.,Western Convalescent Hospital,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90018
"Lori B. Birndorf, D.O., A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,Chatsworth,#N/A,91311
Lori R Krieger MD INC,none identified,Ambulatory Care Settings,Physician practice,San Pedro,#N/A,90732
Los Altos Subacute & Rehabilitation,none identified,Subacute Care Facility,Skilled nursing facility,Los Altos,#N/A,94024
Los Angeles Kidney Center,none identified,not selected,not selected,Los Angeles,#N/A,90024
Los Angeles LGBT Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90028
Los Angeles Network for Enhanced Services (LANES),none identified,Intermediaries,Qualified Health Information Exchange Intermediary Organization (QHIO),Los Angeles,#N/A,90064
Los Angeles Rehab,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90057
"Louise Cooley Davis, M.D.",none identified,Ambulatory Care Settings,not selected,Beverly Hills,#N/A,90212-3411
Love Focus International Association,none identified,Community-Based Organizations,Other community-based service provider,Merced,#N/A,95248
LSS Nor Ca,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Sacramento,#N/A,95817
Lucidity Sleep and Psychiatry,none identified,Ambulatory Care Settings,Physician practice,vista,#N/A,92081
Lucile Packard Children's Hospital Stanford,none identified,Acute Care Settings,General acute care hospital,Palo Alto,#N/A,94304
"Luis M. Marquez, MD, Inc",none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92103
Lumeris/Essence Healthcare,none identified,Plans,not selected,Maryland Heights,#N/A,63043
Luther Mangoba MD INC,none identified,Ambulatory Care Settings,Physician practice,Riverside,#N/A,92503
Lutheran Social Services of Northern California,none identified,Community-Based Organizations,Other community-based service provider,Concord,#N/A,94520
Lutheran Social Services of Southern California,none identified,Community-Based Organizations,Other community-based service provider,Orange,#N/A,92868
"M. Jammal, M.D. Pediatrics",none identified,Ambulatory Care Settings,Physician practice,Roseville,#N/A,95661
"M. Mark Mofid, M.D., A Professional Corporation",none identified,Ambulatory Care Settings,Physician practice,La Jolla,#N/A,92037-1417
M. Nieves Gutierrez-Go M.D. Inc.,none identified,Ambulatory Care Settings,Physician practice,Indio,#N/A,92201
M/S SURGERY CENTER,none identified,Ambulatory Care Settings,Physician practice,Lynwood,#N/A,90262
Mad River Community Hospital,none identified,Acute Care Settings,General acute care hospital,Arcata,#N/A,95521
Madera County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Madera,#N/A,93639
"Mahmoud Ibrahim, M.D.",none identified,Ambulatory Care Settings,Independent practice associations,Rancho Cucamonga,#N/A,91730
Majid Shahbaz MD Inc.,none identified,Ambulatory Care Settings,Physician practice,La Mesa,#N/A,91942
Mallu C Reddy MD Inc,none identified,Ambulatory Care Settings,Physician practice,Pomona,#N/A,91768
Maltique LLC dba Sherwood Healthcare Center,none identified,Subacute Care Facility,Skilled nursing facility,Sacramento,#N/A,95819-2250
mama baby obgyn inc,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95128
"Mammography Specialists, LG",none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Mammoth Hospital,none identified,Acute Care Settings,not selected,Mammoth Lakes,#N/A,93546
"Man C Duong, MD, APC",none identified,Ambulatory Care Settings,Physician practice,IMPERIAL,#N/A,92251
Managed Health Network,none identified,Plans,Other plan,San Rafael,#N/A,94903
"Mandeep Ayer, M.D.",none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Mangrove Medical Group,none identified,Ambulatory Care Settings,Medical group,Chico,#N/A,95926
Manifest MedEx,none identified,Intermediaries,Qualified Health Information Exchange Intermediary Organization (QHIO),Incline Village,#N/A,89451
Manikanda G Raja MD corp,none identified,Ambulatory Care Settings,Physician practice,Hemet,#N/A,92544
"MANJARI ARAVAMUTHAN,M.D.,P.C.",none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95121
Manjul Patwardhan MD Prof Corp,none identified,Ambulatory Care Settings,Physician practice,CUPERTINO,#N/A,95014
Manning Gardens Care Center Inc,none identified,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93725
Manorcare Fountain Valley,none identified,Subacute Care Facility,Skilled nursing facility,Fountain Valley,#N/A,92708
ManorCare Health Services (Sunnyvale),none identified,Subacute Care Facility,Skilled nursing facility,Sunnyvale,#N/A,94087
Manorcare Health Services Palm Desert,none identified,Subacute Care Facility,Skilled nursing facility,Palm Desert,#N/A,92260
ManorCare Healthservices - Hemet,none identified,Subacute Care Facility,Skilled nursing facility,Hemet,#N/A,92545
Manual Orthopedic Physical Therapy Inc.,Bodywise Acupuncture & Total Wellness,not selected,not selected,Chula Vista,#N/A,91910
Manzoor A. Kazi Medical Associates Inc.,none identified,Ancillary Care,Other ancillary care provider,Palm Desert,#N/A,92260
